Mass (g),BMR (W)
2140,1.5639
10300,6.7806
1300,2.6111
357,1.1361
13,0.1056
40,0.2389
104,0.3361
111,0.4222
122,0.5444
336,1.1444
751,1.8861
812,2.2639
923,2.0444
1329,3.4111
3257,5.9944
40,0.1778
34.2,0.1194
480,1.0361
24.2,0.1333
36.5,0.2028
43.1,0.1528
46.5,0.2528
66.9,0.3556
88.8,0.2583
118.2,0.4611
157.2,0.7083
584.4,1.6611
909.9,2.2833
1354,3.1722
1782,3.2806
5050,7.8861
7.1,0.0639
7.1,0.0639
9.4,0.0722
11.6,0.0889
13.1,0.075
17.7,0.1222
19,0.1194
22,0.1306
1011,1.975
428,0.8361
645,1.7639
717.2,1.2389
837.3,2.3444
1551,3.5472
695,1.9
1276,3.0167
4765,5.8472
25000,13.9444
12.6,0.1056
18.6,0.125
44.3,0.2056
70,0.3361
1353.2,2.3917
1389.7,2.9833
1565.5,2.8917
1671.4,3.6722
1982,3.5389
4250,5.6804
1141,3.1806
860.1,1.5833
128.1,0.4944
166,0.575
10,0.1611
14,0.0833
1070,3.075
1120,2.8111
1385,3.5778
2820,5.9778
2510,4.4806
2660,4.7472
4796,7.7583
6960,8.1528
29300,31.0528
32490,32.2583
6.9,0.0444
10.3,0.15
11.9,0.1583
44,0.2417
44.4,0.2472
44.6,0.2333
77.7,0.4028
101.9,0.4056
133,0.3583
530,0.6806
790,1.4556
26.1,0.0861
34,0.2278
70,0.4722
38.8,0.2889
45.31,0.2667
45.3,0.2444
46.5,0.2889
49.8,0.3028
53,0.3167
62.97,0.3694
206.1,1
48000,34.2694
2000,4.0167
2210,4.1917
2400,3.6139
170000,57.8417
1380,1.7333
3320,4.4444
1110,1.7333
1740,2.2333
2150,3.1194
4540,4.5083
8190,6.8972
1160,1.1722
3810,4.4639
45190,16.8889
3790,3.8278
4250,4.4556
249,0.6417
3500,5.075
3500,4.8806
30600,14.5083
123,0.5222
186,0.7056
58,0.2417
300,1.0889
2330,1.8056
3080,3.8139
263,0.6611
1300,1.7417
1386,2.8611
68,0.35
156,0.6694
206,0.7361
262,1.1972
947,2.2917
114,0.4306
152.5,0.5472
356,0.8528
557,1.5528
733,2.125
850,3.3194
1020,2.5611
6230,12.1611
8500,18.9639
10500,16.6917
33900,50.675
60500,70.8667
630,1.5472
61.5,0.3611
224,1.3611
624,2.4028
39.1,0.3222
46.6,0.4278
57.3,0.5389
60,0.5694
69.4,0.6306
70.7,0.5833
75,0.4389
87.4,0.5028
95,0.5
96,0.5528
112.3,0.5444
167.2,0.5222
174.5,0.5139
182.3,0.5778
223.6,0.8111
229.4,0.5833
230,0.7444
239.5,0.6222
244,1.0111
252.2,0.9
270.1666667,0.7267
274.5,0.7361
302.7,0.7056
319.9,0.8139
366.6,1.4722
460,1.3472
515.3,1.7306
599.6,1.7722
627,1.975
680,3.2806
1112.3,2.3583
2650,3.6944
4294,8.625
67.8,0.3694
15270,25.9583
11,0.1694
15.2,0.1111
37.8,0.2583
38.3,0.2417
48.8,0.3556
57.2,0.3722
60.6,0.3556
63.3,0.4083
64.2,0.4167
106,0.5139
43.8,0.2611
48.1,0.3
69.3,0.5611
75.8,0.5528
8.3,0.0972
8.9,0.0528
14.6,0.0861
16,0.125
19.6,0.15
22,0.1194
29.1,0.1944
39.5,0.275
85,0.4028
106,0.6083
143,0.6694
197,0.7694
200,0.7917
74.5,0.5139
139.1,0.775
21.6,0.2167
30,0.25
344,0.9583
128,0.6139
201,0.8306
191,0.8417
61.3,0.2861
1870.9,6.3667
21.7,0.1139
27.5,0.2028
93.8,0.7056
17.8,0.275
18.3,0.3417
21.5,0.375
21.8,0.3278
22.8,0.2472
23.8,0.3111
24,0.3361
24.6,0.3194
26.4,0.5306
27,0.3306
28,0.3556
28,0.4306
28.8,0.2611
30.2,0.3472
30.3,0.2806
35.4,0.5611
37.5,0.6556
38.9,0.4194
40.3,0.4306
43,0.2722
43.8,0.4472
44,0.3917
44,0.3806
47.4,0.4611
51.2,0.5
52.2,0.5028
52.9,0.7083
53.1,0.4111
62.3,0.5861
68.5,0.55
80,0.9639
97.5,0.6306
258.1,1.2083
1004.6,3.5861
24,0.2194
27.4,0.4306
30.7,0.2444
119.3,0.5722
362,1.2917
7.3,0.0806
7.6,0.1111
12,0.1194
12,0.175
15.2,0.1778
19.1,0.2167
19.1,0.1639
19.5,0.15
20.9,0.1722
21.2,0.1972
21.5,0.2056
21.5,0.1806
23.2,0.3028
24.6,0.2417
28.3,0.2611
30.8,0.2889
33.2,0.3472
49.6,0.325
66.2,0.5056
110.8,0.6917
137.9,0.6778
138.5,0.5556
186.7,0.8222
193.6,0.7889
320.9,1.3972
16,0.1611
16.9,0.1556
17.5,0.1667
23.5,0.2222
27,0.275
28.2,0.2861
34.6,0.3611
36.4,0.3111
42.3,0.3222
48,0.3972
49.5,0.3944
50.7,0.3417
59,0.3972
62,0.4694
62.3,0.5444
65.4,0.4694
69.4,0.4694
76.8,0.6167
78.7,0.4306
83.5,0.5083
115.1,0.8611
128.6,1.0389
152.4,0.7056
155.6,1.1556
166.4,1.3639
27,0.2444
32.3,0.4667
42,0.2583
51.1,0.2278
12.6,0.075
27.6,0.1639
28.4,0.125
29.7,0.2361
29.9,0.1778
33.9,0.1944
35.3,0.2167
38.8,0.1944
46.1,0.2056
53,0.2944
55.3,0.2833
59.5,0.2556
66.9,0.4306
71.9,0.4889
72.3,0.2972
86.8,0.4222
106.5,1.0167
112,0.55
157.6,0.7389
7.4,0.1194
8.3,0.1222
12.2,0.1306
20.5,0.2778
21.8,0.3444
23.9,0.2417
32.3,0.2528
34.2,0.2333
39.6,0.1778
40.4,0.3139
41.5,0.1833
47.5,0.3194
56.2,0.3389
66.3,0.2917
67.4,0.3278
76,0.4694
79.8,0.4667
105,0.4194
109,0.3528
111.6,0.5167
113.3,0.7472
124.7,0.3833
132,0.9361
165.7,0.6833
187,0.5944
212.3,0.9028
247.8,0.8111
750,2.4556
819,3.1694
86.5,0.4694
96,0.5944
2300,4.425
60,0.3278
88,0.4167
94,0.3889
102,0.3889
125,0.3972
191,0.6278
272,0.9111
406,1.2222
712,1.9056
39,0.1444
10700,11.3389
3280,5.1222
11136,15.5278
426,1.2583
454.4,1.2611
2056,3.9
6784,10.5944
255,0.9806
322,1.4722
629,1.9306
1613,4.05
801,2.0111
26385,36.7917
914,2.8028
2687,8.6917
3849,10.5194
9156,15.3222
116,0.6139
214,0.775
215,1.0444
300,1.0556
340,0.6444
490,1.2306
71.4,0.4306
112,0.675
118.6,0.6417
136,0.5694
152,0.7306
173.2,0.9556
176.1,1.0222
206,1.0694
323,1.1528
498,1.75
4325,16.8861
775,1.4694
2456,4.1111
2630,3.375
109,0.9306
117.5,1.0611
127.7,1.3889
672.4,2.4417
1577,6.6861
1989,6.2361
2430,7.0472
3004,6.0333
3150,12.9833
3362,8.4583
397,0.8472
453,0.6278
450,0.8278
749,1.8833
822.7,1.9361
77.3,0.4472
721.2,2.8167
2.2,0.0389
6.5,0.1056
10,0.1444
10.2,0.125
10.4,0.1278
11.7,0.1667
11.8,0.1389
14.7,0.1222
17.3,0.175
38.9,0.325
52.3,0.4917
12.3,0.1333
3.3,0.1583
4,0.0722
4.2,0.1472
5.2,0.1111
6.2,0.1056
7.7,0.2611
7.9,0.2694
9.1,0.2889
10.2,0.1861
13.5,0.2194
14.4,0.3889
21,0.2917
48,0.3778
49,0.6167
61,0.3472
61.2,0.2917
130.1,0.6083
11.8,0.2583
16.4,0.0806
16.5,0.0972
51.6,0.2667
53.3,0.2417
23.6,0.1361
30.9,0.2444
40.4,0.4444
37.4,0.2639
73.7,0.4167
91.5,0.5833
146,0.6833
179.5,0.8
194.2,0.7056
241.4,0.9694
254.5,0.7528
362,1.3528
404.3,2.0528
520.8,1.6278
562.2,1.6306
598,1.7667
1024.3,4.5139
4.2,0.0389
8.3,0.0917
8.3,0.05
8.5,0.0528
18.2,0.1167
37.2,0.1833
107.2,0.525
4.2,0.0528
5.1,0.0667
7.8,0.0806
27.8,0.1889
29.4,0.15
36.6,0.1889
16.1,0.1
8.7,0.0611
9.6,0.1194
10.1,0.1056
11.3,0.1583
13.5,0.1472
13.6,0.2056
24,0.1889
11.7,0.0806
27.4,0.2194
33.5,0.1917
35.6,0.2167
84.2,0.3944
96.1,0.5694
9.5,0.0917
14.9,0.175
8.8,0.1028
15.9,0.2222
16.2,0.1472
19.7,0.1833
19.9,0.1722
20.5,0.2222
21.9,0.1806
21.9,0.2194
45.2,0.3167
63.9,0.4361
69.7,0.4833
4.9,0.0333
8.6,0.0444
9.4,0.0861
14,0.1278
16.5,0.1361
19.2,0.1722
27,0.1333
61,0.2611
5.4,0.0472
15.6,0.0972
56,0.2222
8,0.0639
9,0.0611
9.8,0.075
11.2,0.0556
12.2,0.0972
13.6,0.1139
17.5,0.1389
19.9,0.0917
22.6,0.1028
5.8,0.0556
25,0.2
10.9,0.1444
1430,1.275
2730,5.025
3637.5,3.7333
4220,6.1194
15910,6.3889
3600,5.2222
8400,9.7
9400,23.5417
10100,17.4639
10500,17.5694
37200,49.3833
37900,50.1028
50400,62.4083
98000,94.5667
137900,133.8361
2010,3.0833
3160,4.2306
14280,6.2917
1732,4.25
2260,5.0556
4270,4.8111
500,2.1194
611,2.25
850,1.7556
8100,12.2
34300,31.95
1106,2.2222
1285,3.525
1546,4.4583
1868,5.2306
3060,8.3806
5090,11.9611
5418,11.3639
5444,8.5028
7575,16.9306
7720,21.0556
10000,15
33000,45.0972
66960,47.0583
129500,85.2333
170000,109.9972
181333,124.4056
73000,177.9361
44600,79.1083
85467,158.7472
145657,184.425
388500,416.0583
10000,25.1
18000,72.2889
77,0.9833
210,1.7333
297,1.575
662,2.7111
920,4.1056
1038,3.8222
1575,7.0278
2950,6.8111
9000,15.0611
11050,16.6417
12700,32.5861
624,1.6361
5667,8.4083
1160,2.5889
1282,3.5389
2400,4.2306
3670,6.7361
4000,5.5778
4822.5,12.1861
5740,4.9
20200,32.45
407000,224.7444
1625,4.8861
19000,41.5444
67625,94.3
94100,133.3167
350000,318.4316
58000,90.5833
37800,59.0361
84100,103.9361
140000,156.1778
4600,10.7778
8500,18.2528
17100,25.6583
150000,200.8
32000,46.4083
65000,130.5194
224500,139.1889
4400,10.5528
100000,148.9278
148600,323.2556
3221000,2173.8889
28500,108.0972
